bins	start time(ps)	counts
0	0	18
1	6810401	18
2	13620704	16
3	20430866	16
4	27241485	15
5	34051896	23
6	40862099	13
7	47672381	14
8	54482993	12
9	61293490	23
10	68103745	15
11	74913876	15
12	81724356	19
13	88535006	10
14	95345409	20
15	102155703	19
16	108965475	7
17	115776151	14
18	122586719	19
19	129397450	18
20	136207305	13
21	143017844	8
22	149828357	9
23	156638625	12
24	163449274	11
25	170259546	16
26	177069603	13
27	183879921	17
28	190690451	18
29	197500946	16
30	204311069	18
31	211121245	11
32	217932031	15
33	224742222	17
34	231552491	22
35	238362764	10
36	245173391	14
37	251983523	9
38	258793896	17
39	265604478	17
40	272414823	9
41	279225031	17
42	286035411	14
43	292846107	22
44	299656348	18
45	306466384	14
46	313277104	16
47	320087742	26
48	326897658	12
49	333708241	23
50	340518739	20
51	347328580	14
52	354139355	16
53	360949761	17
54	367759932	20
55	374570248	16
56	381380629	21
57	388191269	16
58	395001585	11
59	401811500	17
60	408622060	17
61	415432448	23
62	422242828	16
63	429053339	16
64	435863701	14
65	442674127	17
66	449483848	13
67	456294214	6
68	463104981	14
69	469915531	18
70	476725643	15
71	483536322	12
72	490346761	17
73	497156947	22
74	503967056	21
75	510777740	18
76	517588187	17
77	524398304	10
78	531208943	16
79	538019389	15
80	544829821	18
81	551639631	21
82	558450270	11
83	565260911	16
84	572071168	14
85	578881464	17
86	585691503	13
87	592502408	12
88	599312397	20
89	606122750	15
90	612933281	11
91	619743463	14
92	626553704	14
93	633363855	14
94	640174889	22
95	646985066	20
96	653794916	24
97	660605421	18
98	667416205	12
99	674226550	18
100	681036572	17
101	687847198	14
102	694657648	14
103	701467858	11
104	708278061	15
105	715088743	15
106	721899557	27
107	728709413	14
108	735519845	16
109	742330350	10
110	749140584	11
111	755950844	11
112	762761304	16
113	769571974	16
114	776382247	26
115	783192063	23
116	790002798	14
117	796813212	17
118	803623435	19
119	810433848	17
120	817244374	16
121	824054631	13
122	830864918	17
123	837675019	16
124	844485359	18
125	851295526	9
126	858106526	11
127	864917027	11
128	871727103	13
129	878537438	21
130	885348182	16
131	892158441	15
132	898968327	16
133	905778591	12
134	912589104	15
135	919399852	9
136	926210124	21
137	933020573	16
138	939830675	17
139	946641234	15
140	953451536	18
141	960262099	9
142	967072359	13
143	973882625	8
144	980692984	16
145	987503339	17
146	994313843	28
147	1001124309	10
148	1007934577	14
149	1014744880	19
150	1021554837	17
151	1028365787	8
152	1035176070	16
153	1041986009	14
154	1048796469	15
155	1055607113	9
156	1062417538	13
157	1069227761	14
158	1076038201	13
159	1082848333	17
160	1089658628	8
161	1096469298	13
162	1103279759	11
163	1110089965	12
164	1116900015	16
165	1123710563	15
166	1130521255	12
167	1137331466	11
168	1144141765	17
169	1150952379	11
170	1157763064	14
171	1164572930	14
172	1171383221	15
173	1178193818	16
174	1185004242	14
175	1191814613	12
176	1198624755	14
177	1205435279	15
178	1212245673	22
179	1219055995	25
180	1225866506	23
181	1232676416	18
182	1239486832	14
183	1246297483	16
184	1253107955	21
185	1259917967	11
186	1266728412	19
187	1273538852	17
188	1280349271	16
189	1287159042	11
190	1293969660	9
191	1300780272	18
192	1307590612	15
193	1314400876	15
