bins	start time(ps)	counts
0	0	16
1	7010345	18
2	14020298	25
3	21030857	22
4	28041678	14
5	35052010	14
6	42061874	18
7	49072541	14
8	56083055	22
9	63093280	15
10	70103642	30
11	77114185	21
12	84124147	18
13	91134722	23
14	98145461	17
15	105155489	21
16	112166050	17
17	119176692	19
18	126186728	10
19	133196869	18
20	140207172	20
21	147217866	13
22	154228423	20
23	161238235	24
24	168248879	20
25	175259397	11
26	182269599	15
27	189279973	14
28	196290821	19
29	203301125	12
30	210311119	20
31	217321682	11
32	224332008	14
33	231342382	19
34	238352566	14
35	245363227	16
36	252373641	15
37	259383701	18
38	266394150	23
39	273404869	19
40	280414935	19
41	287425096	18
42	294435772	21
43	301446344	13
44	308456721	16
45	315466904	13
46	322477346	14
47	329487589	22
48	336497963	12
49	343508283	25
50	350518945	14
51	357529076	15
52	364539237	21
53	371549965	16
54	378560552	20
55	385570532	25
56	392580889	17
57	399591545	13
58	406601823	24
59	413612221	15
60	420622731	22
61	427633070	22
62	434643119	16
63	441653644	13
64	448664220	17
65	455674963	22
66	462684856	15
67	469695207	17
68	476705453	16
69	483715987	19
70	490726067	20
71	497736838	23
72	504747307	17
73	511757450	9
74	518767752	22
75	525778456	20
76	532788818	14
77	539798805	16
78	546809525	10
79	553820192	19
80	560830474	22
81	567840698	16
82	574850934	17
83	581861058	22
84	588871485	18
85	595882155	19
86	602892455	16
87	609902784	21
88	616913150	17
89	623923692	16
90	630933900	16
91	637944151	15
92	644955008	13
93	651965196	13
94	658975136	20
95	665985726	20
96	672996485	12
97	680006574	13
98	687017006	15
99	694027186	22
100	701037642	29
101	708048121	17
102	715058468	18
103	722068804	18
104	729079235	17
105	736090063	15
106	743100327	16
107	750109989	9
108	757120520	18
109	764131581	22
110	771141638	21
111	778151730	11
112	785162135	14
113	792172836	17
114	799182998	18
115	806193313	18
116	813203806	18
117	820214053	21
118	827224414	21
119	834234734	15
120	841245309	14
121	848255756	16
122	855265966	13
123	862276549	19
124	869287132	19
125	876297319	22
126	883307576	14
127	890318157	18
128	897328359	13
129	904338529	25
130	911348710	17
131	918359316	15
132	925369873	17
133	932380189	12
134	939390590	15
135	946400988	25
136	953411564	13
137	960421733	12
138	967431915	19
139	974442445	13
140	981453036	19
141	988463727	23
142	995473773	19
143	1002483983	16
144	1009494584	17
145	1016504678	13
146	1023514791	18
147	1030525390	15
148	1037536090	19
149	1044546213	14
150	1051556725	13
151	1058567083	20
152	1065577482	16
153	1072587712	16
154	1079598134	13
155	1086608151	11
156	1093618861	17
157	1100629684	18
158	1107639615	18
159	1114649851	14
160	1121660216	13
161	1128671243	17
162	1135681330	14
163	1142691362	14
164	1149701904	19
165	1156712439	21
166	1163722484	22
167	1170733106	17
168	1177743513	13
